Date,ABG,ANG,APN,ARI,CLH,CLS,CPI,DSY,FBR,IMP,MTN,NED,NPN,REM,SOL,WHI,DSY,BTI,FSR,SBK
11/10/2006,4463.750977,26582.57227,2774.023926,3269.034668,828.380371,752.677124,2025.468262,1881.410889,855.590698,11680.5459,3635.553955,5672.404297,7774.463867,1979.587036,15320.99707,741.167664,1881.410889,9049.543945,691.731018,4151.58252
11/13/2006,4554.436523,25931.39844,2782.719971,3215.268066,834.344849,752.677124,2008.589966,1873.699463,875.424744,11435.65723,3747.464355,5649.530273,8020.709961,1970.100708,15139.33106,734.086365,1873.699463,9006.175781,695.655396,4155.942383
11/14/2006,4572.653809,26561.95898,2827.939209,3193.760986,821.753296,749.255981,2008.589966,1865.989014,854.906982,11503.32422,3823.953369,5718.148438,8226.010742,1978.322388,15441.51074,750.609192,1865.989014,9043.763672,690.304138,4153.520508
11/15/2006,4528.121094,26162.19336,2800.111816,3183.008301,808.764343,745.834717,1974.831543,1835.146118,854.906982,11013.54688,3849.621338,5722.724121,8233.863281,1985.785645,15327.05762,750.609192,1835.146118,9077.878906,684.596191,4092.972656
11/16/2006,4554.436523,26050.92188,2826.200195,3226.021484,808.499268,742.413391,1974.831543,1812.013794,854.906982,10762.21289,3665.328369,5702.137207,8301.173828,1960.61377,15018.2168,750.609192,1812.013794,8962.808594,677.461365,4116.708008
11/17/2006,4546.338379,24934.86328,2826.200195,3183.008301,801.872131,742.413391,1974.831543,1835.146118,957.495422,10246.65918,3596.025879,5581.370605,8189.547363,1985.912231,14230.96973,754.858215,1835.146118,9078.454102,673.537048,4107.503906
11/20/2006,4596.942383,26128.39648,2816.634766,3226.021484,808.499268,735.570984,2025.468262,1835.146118,872.004944,11081.21387,3644.794189,5535.168945,8189.547363,1987.177612,14570.0918,755.329956,1835.146118,9084.238281,678.174805,4124.457031
11/21/2006,4728.921387,26541.35547,2817.503906,3208.815674,821.753296,742.413391,2092.983887,1842.856445,889.103027,11342.21191,3650.440674,5615.680176,8357.827148,2011.210693,15078.77344,762.411316,1842.856445,9194.104492,697.439026,4257.661133
11/22/2006,4777.09668,26954.30859,2821.851807,3226.021484,848.261475,752.677124,2092.983887,1866.759888,906.201294,11084.43652,3760.297852,5809.181641,8386.433594,2032.081299,15230.16602,788.37561,1866.759888,9289.515625,716.346619,4298.833008
11/23/2006,4849.967773,26871.05859,2852.288086,3225.591553,836.332764,752.677124,2092.983887,1919.192993,899.362,10955.5459,3765.431396,5800.489258,8388.678711,2011.210693,15017.61426,816.22876,1919.192993,9194.104492,727.762512,4347.269043
11/24/2006,4858.064453,27654.11133,2908.812012,3183.008301,858.732239,752.677124,2025.468262,1908.397827,897.994263,11110.21484,3773.131592,5809.639648,8384.751953,2049.03125,15108.44531,811.97998,1908.397827,9367.000977,724.195251,4340.003906
11/27/2006,4858.064453,27773.63672,2933.160889,3183.008301,858.201782,749.255981,2071.687256,1912.253174,901.461182,11058.6582,3770.565186,5834.800293,8441.969727,2021.329712,14866.82422,809.619263,1912.253174,9240.365234,727.405701,4347.269043
11/28/2006,4738.636719,27818.96875,2904.464355,3139.994141,841.63446,752.677124,2045.858643,1912.253174,901.461182,10955.5459,3696.129395,5752.45752,8077.363281,2000.96521,14715.42969,788.37561,1912.253174,9147.266602,697.439026,4272.192383
11/29/2006,4695.724121,27667.30469,2939.248047,3161.500977,835.007202,752.677124,2066.249268,1927.674683,894.526978,11181.10254,3770.565186,5786.766602,8066.145508,2013.740234,14760.84375,788.37561,1927.674683,9205.669922,710.995422,4243.130859
11/30/2006,4562.531738,28313.52539,2935.769775,3271.185791,831.693665,735.570984,2066.249268,1926.903442,893.833496,11664.43457,3757.730713,5741.020996,8189.547363,2030.184204,15230.16602,786.01532,1926.903442,9280.842773,705.287598,4262.504395
12/1/2006,4651.595703,28482.49609,3043.600342,3441.089111,829.043091,745.834717,2106.35083,1927.674683,887.592712,11599.99219,3773.131592,5795.916016,8172.721191,2056.114014,15593.50879,786.01532,1927.674683,9399.383789,712.422607,4286.723145
12/4/2006,4647.547852,28107.45703,2947.944092,3508.621094,831.693665,738.992371,2106.35083,1927.674683,887.592712,11541.98828,3773.131592,5752.45752,8105.411133,2058.645264,15445.14356,788.847839,1927.674683,9410.946289,714.205994,4233.441895
12/5/2006,4617.185547,27777.75195,2952.291992,3505.609863,831.693665,739.676453,2093.436768,1912.253174,891.753418,11535.5459,3847.568115,5649.530273,8161.502441,2077.618408,15714.625,793.096558,1912.253174,9497.686523,702.790344,4262.504395
12/6/2006,4603.015625,27199.94141,2926.203857,3548.623535,847.598816,738.992371,2093.436768,1923.819336,884.12561,11406.01465,3886.068848,5671.947266,8183.939941,2047.892822,15578.97656,802.06604,1923.819336,9361.796875,701.006592,4238.285156
12/7/2006,4576.296387,26684.77539,2887.071777,3527.117188,828.380371,735.570984,2107.031006,1912.253174,880.658203,11471.10059,3927.137207,5580.913086,7909.086426,2024.491699,15623.79004,797.345337,1912.253174,9254.821289,702.790344,4211.64502
12/8/2006,4603.015625,27528.82617,2869.680176,3656.156982,828.380371,735.570984,2107.031006,1914.566406,901.461182,11477.5459,3852.701172,5672.404297,8049.315918,2052.319824,15684.34375,793.096558,1914.566406,9382.032227,702.790344,4189.848633
