Date,Adj Close
9/17/2018,9089.624023
9/18/2018,9110.149414
9/19/2018,9480.576172
9/20/2018,9066.166992
9/21/2018,9375.99707
9/25/2018,9676.051758
9/26/2018,9852.957031
9/27/2018,9848.070313
9/28/2018,9665.300781
10/1/2018,9710.259766
10/2/2018,9761.083984
10/3/2018,9783.563477
10/4/2018,9854.911133
10/5/2018,9544.105469
10/8/2018,9578.314453
10/9/2018,9684.848633
10/10/2018,10018.13477
10/11/2018,10136.39746
10/12/2018,9969.265625
10/15/2018,9109.171875
10/16/2018,9459.073242
10/17/2018,9462.983398
10/18/2018,9452.231445
10/19/2018,9448.322266
10/22/2018,9627.182617
10/23/2018,9748.37793
10/24/2018,10213.61035
10/25/2018,10262.47949
10/26/2018,9837.318359
10/29/2018,10027.9082
10/30/2018,10115.87207
10/31/2018,10218.49707
11/1/2018,10213.61035
11/2/2018,10262.47949
11/5/2018,10259.54688
11/6/2018,10117.82715
11/7/2018,10259.54688
11/8/2018,10260.52441
11/9/2018,10130.5332
11/12/2018,10001.51856
11/13/2018,9888.142578
11/14/2018,9963.401367
11/15/2018,10107.07617
11/16/2018,9969.265625
11/19/2018,9914.532227
11/20/2018,9910.623047
11/21/2018,9885.210938
11/22/2018,10213.61035
11/23/2018,10029.86328
11/26/2018,10095.34766
11/27/2018,10067.00293
11/28/2018,10262.47949
11/29/2018,10262.47949
11/30/2018,10262.47949
12/3/2018,10261.50098
12/4/2018,10262.47949
12/5/2018,10097.30176
12/6/2018,10018.13477
12/7/2018,9724.919922
12/10/2018,9562.675781
12/11/2018,9683.870117
12/12/2018,9676.051758
12/13/2018,9773.789063
12/14/2018,9772.8125
12/18/2018,9368.177734
12/19/2018,9461.02832
12/20/2018,9139.470703
12/21/2018,9210.819336
12/24/2018,9343.742188
12/27/2018,9326.149414
12/28/2018,9512.829102
12/31/2018,9552.902344
1/2/2019,9600.792969
1/3/2019,9773.789063
1/4/2019,9773.789063
1/7/2019,9766.948242
1/8/2019,9523.581055
1/9/2019,9760.106445
1/10/2019,9773.789063
1/11/2019,9612.522461
1/14/2019,9772.8125
1/15/2019,9715.146484
1/16/2019,9635.000977
1/17/2019,9758.151367
1/18/2019,9759.128906
1/21/2019,9678.005859
1/22/2019,9699.508789
1/23/2019,9627.182617
1/24/2019,9627.182617
1/25/2019,9099.398438
1/28/2019,9016.320313
1/29/2019,8962.564453
1/30/2019,8633.1875
1/31/2019,8747.541992
2/1/2019,8845.279297
2/4/2019,8923.469727
2/5/2019,9314.420898
2/6/2019,9599.816406
2/7/2019,9353.516602
2/8/2019,9298.783203
2/11/2019,8796.411133
2/12/2019,8845.279297
2/13/2019,8796.411133
2/14/2019,8887.306641
2/15/2019,8796.411133
2/18/2019,9262.620117
2/19/2019,8879.488281
2/20/2019,8875.578125
2/21/2019,8807.162109
2/22/2019,8512.970703
2/25/2019,8474.853516
2/26/2019,8210.959961
2/27/2019,8708.446289
2/28/2019,8796.411133
3/1/2019,8792.501953
3/4/2019,8731.904297
3/5/2019,8395.68457
3/6/2019,8209.983398
3/7/2019,8253.964844
3/8/2019,8522.744141
3/11/2019,8372.228516
3/12/2019,7820.009277
3/13/2019,8307.72168
3/14/2019,8575.522461
3/15/2019,8605.821289
3/18/2019,8698.672852
3/19/2019,8687.920898
3/20/2019,8339.974609
3/22/2019,8324.335938
3/25/2019,8137.657227
3/26/2019,8488.536133
3/27/2019,8421.09668
3/28/2019,8186.526367
3/29/2019,8317.495117
4/1/2019,8365.386719
4/2/2019,8356.59082
4/3/2019,8337.042969
4/4/2019,8502.219727
4/5/2019,8446.508789
4/8/2019,8560.862305
4/9/2019,8112.245117
4/10/2019,8112.245117
4/11/2019,8113.222168
4/12/2019,8144.498535
4/15/2019,8356.59082
4/16/2019,8518.834961
4/17/2019,8581.387695
4/18/2019,8237.349609
4/23/2019,8307.72168
4/24/2019,8209.983398
4/25/2019,8209.983398
4/26/2019,8246.145508
4/29/2019,8358.544922
4/30/2019,8227.576172
5/2/2019,8186.526367
5/3/2019,8209.983398
5/6/2019,8190.435547
5/7/2019,8014.507324
5/9/2019,8014.507324
5/10/2019,8247.124023
5/13/2019,8482.671875
5/14/2019,8442.598633
5/15/2019,8367.34082
5/16/2019,8404.481445
5/17/2019,8215.847656
5/20/2019,8118.109375
5/21/2019,8254.942383
5/22/2019,8112.245117
5/23/2019,8109.312988
5/24/2019,8139.612305
5/27/2019,8063.376465
5/28/2019,8004.733887
5/29/2019,7819.031738
5/30/2019,7741.818848
5/31/2019,8136.680176
6/3/2019,7978.344238
6/4/2019,7818.054199
6/5/2019,7822.941406
6/6/2019,7917.746582
6/7/2019,8011.575195
6/10/2019,8014.507324
6/11/2019,8025.258789
6/12/2019,7916.769531
6/13/2019,7902.108887
6/14/2019,7946.09082
6/18/2019,7867.900879
6/19/2019,7916.769531
6/20/2019,7877.674805
6/21/2019,8306.743164
6/24/2019,7932.407715
6/25/2019,8148.408691
6/26/2019,8112.245117
6/27/2019,8288.173828
6/28/2019,8408.391602
7/1/2019,8506.128906
7/2/2019,8582.365234
7/3/2019,8798.875977
7/4/2019,8852.262695
7/5/2019,8945.195313
7/8/2019,9016.376953
7/9/2019,8633.774414
7/10/2019,9053.945313
7/11/2019,8765.262695
7/12/2019,9194.332031
7/15/2019,9046.036133
7/16/2019,9197.297852
7/17/2019,8996.604492
7/18/2019,9245.741211
7/19/2019,8718.796875
7/22/2019,8256.114258
7/23/2019,8359.920898
7/24/2019,8452.853516
7/25/2019,8424.182617
7/26/2019,8700.012695
7/29/2019,8895.762695
7/30/2019,9024.286133
7/31/2019,9046.036133
8/1/2019,9055.921875
8/2/2019,9194.332031
8/5/2019,8898.728516
8/6/2019,8897.740234
8/7/2019,9015.387695
8/8/2019,8898.728516
8/12/2019,8752.410156
8/13/2019,8452.853516
8/14/2019,8452.853516
8/15/2019,8441.978516
8/16/2019,8452.853516
