Date,Adj_Close
9/17/2018,11615.93848
9/18/2018,11692.2793
9/19/2018,11923.18262
9/20/2018,11774.27344
9/21/2018,11764.84863
9/25/2018,12075.86426
9/26/2018,11719.61133
9/27/2018,11375.6084
9/28/2018,11535.82813
10/1/2018,11378.4375
10/2/2018,11839.30371
10/3/2018,11761.0791
10/4/2018,11757.30957
10/5/2018,11708.30078
10/8/2018,11467.9707
10/9/2018,11817.62598
10/10/2018,11815.74219
10/11/2018,12900.52441
10/12/2018,12884.50391
10/15/2018,13811.89356
10/16/2018,13482.02734
10/17/2018,13118.23535
