ABG,ANG,ANH,ARI,CLH,FBR,MSM,MTN,NPN,SOL
Date,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close,Adj_Close
2018/11/13,12609.45508,12731.82227,106049.4219,8951.581055,2486.496094,9888.142578,9812.292969,6988.932129,162222.3281,43939.125
2018/11/14,12448.8252,12754.44141,105928.3672,8945.293945,2429.077148,9963.401367,9702.274414,7063.099121,169111.1563,41246.54688
2018/11/15,12495.40723,13079.59473,109148.2344,9106.65332,2448.473145,10107.07617,9862.390625,7114.843262,173632.1875,41267.28906
2018/11/16,12510.66797,12952.36133,108101.3906,9221.210938,2515.685791,9969.265625,9727.814453,7228.681152,173362.6406,41762.25
2018/11/19,12780.52637,13109.75391,110320.0938,9552.311523,2496.482178,9914.532227,9830.957031,7339.931641,176260.7813,41670.79688
2018/11/20,12420.71484,13294.47754,107841.4297,9113.639648,2477.278564,9910.623047,9765.141602,7308.021973,163306.0938,41259.74609
2018/11/21,12373.32813,13354.7959,105179.2109,9360.217773,2446.744385,9885.210938,9828.992188,7373.564941,169459.9375,40680.88281
2018/11/22,12328.35254,13524.43945,103346.5156,9353.232422,2440.791504,10213.61035,9951.78125,7402.887207,171832.125,40209.49219
2018/11/23,12245.62891,13445.27344,105256.6016,9360.217773,2493.601563,10029.86328,9970.444336,7675.406738,169542.2969,38118.41016
2018/11/26,12639.17188,13345.37012,105130.5938,8642.833008,2495.713867,10095.34766,10378.10352,7741.812012,176084.8438,39183.75
2018/11/27,12508.25879,13150.28027,103472.5156,8397.652344,2515.685791,10067.00293,10363.36816,7601.240234,174077.0469,38905.62891
2018/11/28,12609.45508,13142.74023,105014.6953,8377.395508,2506.083984,10262.47949,10493.0332,7623.663086,180599,39619.3125
2018/11/29,12754.02246,13242.64063,105259.9688,8451.438477,2496.482178,10262.47949,10574.56543,7744.399414,175948.8281,39697.5625
2018/11/30,12368.51074,13112.58106,106089.1328,8447.24707,2534.889404,10262.47949,10319.16504,7535.697266,172392.4375,38303.19141
2018/12/03,12645.59668,13162.53125,103328.5391,8753.199219,2554.093262,10261.50098,10266.12012,7521.898438,180223.3906,40916.57813
2018/12/04,12882.52734,13609.2627,103229.2266,8871.949219,2553.901123,10262.47949,10580.45898,7480.50293,182812.0781,40667.68359
2018/12/05,12810.24414,13897.6582,102481.4922,8802.795898,2469.020752,10097.30176,10301.4834,7403.749023,179231.9531,40680.88281
2018/12/06,12379.75391,14509.32129,100655.3438,8836.324219,2473.437744,10018.13477,10113.86231,7416.685547,171893.2813,40115.21484
2018/12/07,12442.40039,14459.36914,100294.8672,9024.924805,2477.278564,9724.919922,10412.48438,7450.319824,175574.4688,40675.22266
2018/12/10,12082.58887,15224.65527,101331.5781,8688.237305,2457.882568,9562.675781,10208.16406,7234.717773,171581.3125,39001.79297
2018/12/11,12404.65234,15503.62695,102269,8874.743164,2477.278564,9683.870117,10017.5957,7211.433105,177889.875,39932.31641
2018/12/12,12562.87305,15773.1709,101012.8359,9173.013672,2496.482178,9676.051758,9830.957031,7411.510742,178266.7344,39980.39844
2018/12/13,12775.70801,16095.49707,101154.8281,9395.142578,2438.87085,9773.789063,9773.982422,7326.132813,175949.4531,40250.97266
