Date,Open,High,Low,Close,Adj Close,Volume
2018-11-09,170730.703125,172580.406250,166991.031250,172580.406250,171264.328125,2304096
2018-11-12,168448.421875,169723.484375,164369.875000,166634.546875,165363.828125,1618216
2018-11-13,166637.687500,168029.687500,163337.500000,163468.906250,162222.328125,2602727
2018-11-14,161582.734375,171013.625000,158440.359375,170410.671875,169111.156250,3892698
2018-11-15,169253.187500,174966.437500,167873.765625,174966.437500,173632.187500,2472882
2018-11-16,176035.265625,177559.921875,173275.156250,174694.828125,173362.640625,1533684
2018-11-19,174694.828125,179736.578125,173820.265625,177615.250000,176260.781250,1749677
2018-11-20,173402.781250,174030.250000,163457.593750,164561.000000,163306.093750,2361423
2018-11-21,169758.687500,172537.031250,167471.375000,170762.140625,169459.937500,1386890
2018-11-22,171617.828125,175407.796875,171617.203125,173152.546875,171832.125000,824770
2018-11-23,170762.140625,171431.093750,166078.750000,170845.125000,169542.296875,897954
2018-11-26,173528.531250,178872.703125,171350.625000,177437.953125,176084.843750,1273060
2018-11-27,179187.078125,180947.500000,174672.187500,175414.718750,174077.046875,1079639
2018-11-28,181075.140625,184456.421875,181075.140625,181986.796875,180599.000000,2658737
2018-11-29,181072.000000,181387.609375,176210.687500,177300.890625,175948.828125,1415475
2018-11-30,178119.500000,179778.703125,173717.156250,173717.156250,172392.437500,2158746
2018-12-03,182990.875000,188040.171875,181608.296875,181608.296875,180223.390625,3071669
2018-12-04,182330.703125,185345.453125,181622.125000,184216.890625,182812.078125,1857290
2018-12-05,180234.531250,181544.171875,178698.546875,180609.250000,179231.953125,1458670
2018-12-06,173528.531250,174552.734375,171642.984375,173214.171875,171893.281250,2146567
2018-12-07,177238.015625,178212.546875,174883.437500,176923.656250,175574.468750,2360466
2018-12-10,174157.265625,176208.796875,170799.859375,172899.812500,171581.312500,2991524
2018-12-11,175607.734375,180956.937500,174995.359375,179256.859375,177889.875000,2508853
2018-12-12,181073.250000,183471.218750,179636.609375,179636.609375,178266.734375,1428990
2018-12-13,180758.890625,182670.218750,176043.437500,177301.515625,175949.453125,1535207
2018-12-14,174157.265625,177883.718750,171680.078125,177192.125000,175840.890625,1932872
2018-12-18,172300.000000,177522.203125,171202.250000,177522.203125,176168.453125,2120109
2018-12-19,176601.125000,178666.484375,174892.234375,177300.890625,175948.828125,1407952
2018-12-20,174157.265625,178872.703125,172271.078125,176198.109375,174854.468750,3474095
2018-12-21,183399.546875,184528.734375,181073.250000,181073.250000,179692.421875,3248825
2018-12-24,181072.625000,185870.437500,180677.781250,185870.437500,184453.031250,334326
2018-12-27,185870.437500,185914.453125,177553.015625,180237.046875,178862.593750,1331386
2018-12-28,177995.640625,184653.843750,177929.625000,182330.703125,180940.281250,1200129
2018-12-31,184844.984375,185474.343750,180118.843750,181844.703125,180458.000000,384370
2019-01-02,176043.437500,176708.000000,171800.156250,175100.984375,173765.703125,1180724
2019-01-03,172648.312500,178684.093750,172648.312500,175352.468750,174015.265625,1153533
2019-01-04,177020.484375,181921.406250,176237.718750,179407.750000,178039.625000,923592
2019-01-07,181038.046875,184448.250000,176043.437500,177414.687500,176061.765625,1379327
2019-01-08,177238.015625,180130.156250,175739.140625,178274.796875,176915.312500,1195260
2019-01-09,181400.187500,186921.031250,181077.656250,186921.031250,185495.609375,1602068
2019-01-10,184908.484375,186068.484375,182681.531250,185735.890625,184319.500000,1487703
2019-01-11,187109.656250,189639.656250,186797.812500,187659.156250,186228.109375,1257320
2019-01-14,182457.703125,186069.734375,180508.031250,186069.734375,184650.796875,1194069
2019-01-15,188961.250000,189405.140625,185910.046875,187592.515625,186161.968750,1393481
2019-01-16,187988.609375,191267.421875,187361.140625,191267.421875,189808.843750,1281340
2019-01-17,190943.625000,193183.781250,189246.703125,191368.015625,189908.687500,1932094
2019-01-18,193017.796875,194376.484375,191080.687500,192548.765625,191080.421875,1398633
2019-01-21,193928.828125,198982.531250,193203.906250,198982.531250,197465.125000,1327179
2019-01-22,195848.328125,198981.906250,192443.765625,198050.125000,196539.828125,1726960
2019-01-23,195650.281250,196036.312500,190539.359375,191761.609375,190299.265625,2150354
2019-01-24,191446.609375,193251.062500,188100.531250,190504.156250,189051.406250,1831408
2019-01-25,194275.875000,195343.453125,188844.937500,191132.875000,189675.328125,2987603
2019-01-28,189875.421875,191271.828125,188438.781250,189561.062500,188115.500000,1093841
2019-01-29,190378.406250,195275.562500,189661.031250,193930.078125,192451.218750,1714724
2019-01-30,190950.546875,194793.328125,189058.703125,190099.250000,188649.593750,2741953
2019-01-31,192258.921875,193161.781250,190668.250000,191132.875000,189675.328125,2569159
2019-02-01,192075.343750,192075.343750,184927.968750,185159.968750,183747.984375,1745758
2019-02-04,184667.687500,187447.906250,184220.031250,185788.703125,184371.921875,1170095
2019-02-05,185788.703125,190839.265625,185788.703125,190839.265625,189383.968750,937479
2019-02-06,191445.984375,195501.890625,190955.578125,194387.796875,192905.421875,999498
2019-02-07,192075.968750,193330.281250,188781.437500,191070.000000,189612.937500,1076539
2019-02-08,189246.703125,193356.046875,187735.875000,187989.250000,186555.687500,1061571
2019-02-11,191446.609375,194120.578125,190500.375000,190504.781250,189052.031250,1124003
2019-02-12,191887.984375,193708.140625,191887.984375,192704.687500,191235.156250,897273
2019-02-13,190504.781250,192106.781250,185927.015625,189246.703125,187803.546875,1605080
2019-02-14,187674.875000,194540.578125,187046.156250,192986.984375,191515.312500,1415407
2019-02-15,188617.343750,192929.781250,187047.406250,192135.062500,190669.875000,1268094
2019-02-18,195396.265625,196710.312500,193413.890625,195848.328125,194354.812500,992708
2019-02-19,193635.203125,197736.390625,193635.203125,195408.218750,193918.078125,1375941
2019-02-20,195533.968750,200249.406250,195173.703125,198027.500000,196517.375000,1999915
2019-02-21,197975.312500,198256.343750,194905.234375,194905.234375,193418.906250,1882204
2019-02-22,194280.281250,198187.187500,194280.281250,197283.703125,195779.250000,1560242
2019-02-25,197283.703125,199147.890625,195009.609375,197113.953125,195610.796875,1645586
2019-02-26,194397.859375,198250.062500,193994.218750,197549.656250,196043.187500,4213957
2019-02-27,197837.593750,200365.843750,193882.796875,195632.921875,194141.062500,1515346
2019-02-28,193881.500000,199389.953125,193057.984375,197473.828125,195967.921875,2135880
2019-03-01,197124.312500,200094.796875,196158.156250,198096.968750,196586.312500,1534131
2019-03-04,202798.781250,206378.781250,202102.359375,204711.015625,203149.937500,1416565
2019-03-05,210741.453125,212685.468750,204257.109375,204581.328125,203021.234375,2052581
2019-03-06,208146.421875,212265.281250,206201.765625,208493.984375,206904.046875,1842921
2019-03-07,206202.406250,207499.281250,201695.781250,202960.234375,201412.500000,1664067
2019-03-08,199789.390625,202189.250000,197967.281250,199172.718750,197653.859375,1336475
2019-03-11,204257.109375,205553.984375,201554.421875,204032.093750,202476.187500,1289629
2019-03-12,206785.359375,207123.843750,201017.531250,202741.062500,201195.000000,1816662
2019-03-13,203154.765625,206201.765625,202117.921875,205022.906250,203459.453125,1412910
2019-03-14,204270.078125,205957.953125,203284.453125,203881.015625,202326.250000,1523179
2019-03-15,206526.625000,208472.578125,203997.734375,203997.734375,202442.093750,2746235
2019-03-18,207823.500000,210297.937500,206649.187500,209690.343750,208091.296875,2177569
2019-03-19,208731.312500,211869.093750,208001.828125,211389.890625,209777.875000,1728992
2019-03-20,211389.890625,213947.968750,207608.218750,207608.218750,206025.046875,3093041
2019-03-22,205878.187500,212557.078125,204257.109375,212557.078125,210936.156250,2390217
2019-03-25,210741.453125,215279.859375,207518.734375,209157.984375,207562.984375,2448434
2019-03-26,208147.718750,209828.468750,204734.359375,208796.156250,207203.921875,1435495
2019-03-27,211921.609375,216387.390625,207787.187500,213885.718750,212254.656250,1981877
2019-03-28,212362.546875,214660.609375,210936.640625,214242.359375,212608.593750,1213677
2019-03-29,216976.812500,219079.687500,214613.921875,216067.703125,214420.000000,1857988
2019-04-01,219171.125000,219206.781250,216577.375000,216965.140625,215310.593750,1454657
2019-04-02,218365.109375,219689.859375,215248.078125,219689.859375,218014.531250,1353561
2019-04-03,222738.156250,226529.562500,221766.796875,224358.593750,222647.671875,1689362
2019-04-04,222510.562500,225289.750000,222413.296875,225007.031250,223291.156250,1322216
2019-04-05,225525.781250,226823.953125,225007.031250,225765.062500,224043.406250,943056
2019-04-08,226945.203125,227244.140625,225459.640625,226822.656250,225092.968750,1294729
2019-04-09,226755.218750,228735.531250,226751.328125,228575.375000,226832.312500,1541788
2019-04-10,230194.515625,233544.328125,229546.078125,233544.328125,231763.359375,2423384
2019-04-11,235057.781250,235316.500000,228684.953125,231813.656250,230045.906250,860559
2019-04-12,230261.312500,233761.562500,229997.390625,232788.265625,231013.062500,908875
2019-04-15,231556.234375,232351.218750,226463.421875,227600.781250,225865.140625,1379904
2019-04-16,230161.453125,233640.953125,229614.171875,232820.687500,231045.250000,1343418
2019-04-17,233325.812500,235704.921875,231077.687500,234737.453125,232947.390625,970554
2019-04-18,231962.796875,234862.609375,231962.796875,234756.265625,232966.046875,1690898
2019-04-23,234756.265625,238235.109375,233681.156250,238235.109375,236418.375000,1102264
2019-04-24,237327.953125,240594.765625,236743.718750,240594.765625,238760.046875,1438094
2019-04-25,237975.734375,239133.203125,234733.562500,237611.968750,235799.984375,1389324
2019-04-26,237580.187500,239655.843750,235600.515625,239467.140625,237641.015625,654631
2019-04-29,240569.484375,243163.875000,236982.343750,238976.281250,237153.906250,1132163
2019-04-30,237651.515625,240723.156250,236676.281250,237009.578125,235202.187500,1650376
2019-05-02,238532.750000,240422.937500,235861.843750,239324.484375,237499.437500,1614562
2019-05-03,238620.281250,242992.031250,238408.890625,241370.296875,239529.656250,1213501
2019-05-06,233119.609375,234701.140625,230240.562500,233372.500000,231592.859375,1502274
2019-05-07,235382.000000,236289.812500,228314.062500,229762.015625,228009.906250,1324312
2019-05-09,228638.265625,229691.328125,220532.828125,221116.421875,219430.234375,2703452
2019-05-10,228897.640625,229221.859375,221188.406250,222095.562500,220401.906250,1955573
2019-05-13,223649.218750,224676.328125,215312.921875,217550.031250,215891.031250,1855034
2019-05-14,216934.015625,220979.609375,216846.484375,217227.750000,215571.218750,1600613
2019-05-15,219885.046875,226933.531250,210950.250000,214891.453125,213252.734375,3196018
2019-05-16,216556.625000,220058.171875,214727.390625,218846.906250,217178.015625,1742041
2019-05-17,214469.968750,216408.781250,213011.625000,215222.140625,213580.890625,1672660
2019-05-20,209930.921875,210698.015625,206850.843750,208147.718750,206560.421875,1833017
2019-05-21,209314.906250,210993.703125,206839.171875,208320.203125,206731.593750,2206385
2019-05-22,208407.093750,209135.281250,206009.171875,207693.812500,206109.984375,2103764
2019-05-23,198424.437500,204257.109375,197786.375000,202700.859375,201155.109375,2728625
2019-05-24,204581.328125,205166.859375,202227.500000,202814.343750,201267.718750,1488694
2019-05-27,203349.953125,203630.062500,201599.812500,202594.515625,201049.562500,680026
2019-05-28,205633.734375,206179.718750,200705.625000,200710.812500,199180.218750,3853530
2019-05-29,201990.828125,209995.765625,200690.718750,208880.453125,207287.578125,1819199
2019-05-30,210724.593750,212922.796875,208232.015625,212048.703125,210431.671875,1772604
2019-05-31,212505.859375,213088.796875,209008.187500,212402.109375,210782.375000,1678488
2019-06-03,215928.937500,217480.000000,214967.312500,217225.812500,215569.296875,1992811
2019-06-04,212949.375000,219170.468750,212118.093750,218684.140625,217016.500000,3013193
2019-06-05,220014.734375,220865.484375,217834.046875,220140.531250,218461.781250,1290975
2019-06-06,219044.031250,221115.125000,217394.406250,218846.906250,217178.015625,1497756
2019-06-07,218846.906250,225266.406250,218266.546875,224342.390625,222631.593750,1520116
2019-06-10,228573.421875,229286.062500,226303.250000,227918.515625,226180.437500,1374033
2019-06-11,227925.640625,228548.140625,226643.031250,226952.343750,225221.656250,1338054
2019-06-12,223104.531250,226211.187500,221440.640625,224453.921875,222742.265625,1814498
2019-06-13,220467.984375,227484.703125,220467.984375,225979.687500,224256.390625,1463122
2019-06-14,223450.796875,226952.343750,222251.187500,223608.359375,221903.171875,1851901
2019-06-18,226819.406250,228013.187500,222073.515625,228013.187500,226274.390625,2822351
2019-06-19,232057.468750,232057.468750,223941.656250,224628.343750,222915.359375,2245630
2019-06-20,228059.875000,229219.921875,222428.203125,225525.781250,223805.953125,5292784
2019-06-21,224504.500000,226945.203125,218488.968750,223164.828125,221463.015625,3911727
2019-06-24,224358.593750,224839.093750,220075.031250,222640.890625,220943.078125,965131
2019-06-25,218474.703125,220745.515625,216123.468750,218522.687500,216856.265625,1130112
2019-06-26,218197.812500,222874.328125,217874.250000,221800.515625,220109.109375,1226939
2019-06-27,223061.734375,224311.906250,218343.062500,218499.984375,216833.750000,1028895
2019-06-28,218523.328125,222020.343750,217550.671875,221733.734375,220042.828125,2157368
2019-07-01,225059.562500,229620.656250,223729.625000,228197.343750,226457.156250,1949315
2019-07-02,227082.031250,229096.062500,225202.859375,225331.250000,223612.921875,1925254
2019-07-03,225331.250000,226264.343750,223718.593750,225655.468750,223934.656250,1253952
2019-07-04,226239.062500,226649.515625,222251.187500,223603.171875,221898.015625,698836
2019-07-05,223796.406250,227930.187500,223310.734375,225776.078125,224054.343750,700436
2019-07-08,223799.656250,224643.265625,222242.750000,223904.703125,222197.250000,986974
2019-07-09,222768.640625,223101.281250,219495.328125,220467.984375,218786.750000,1032669
2019-07-10,222377.625000,226628.125000,221993.750000,225078.359375,223361.953125,880561
2019-07-11,225488.171875,226952.343750,218600.500000,224608.250000,222895.421875,815182
2019-07-12,222499.531250,223582.421875,220143.765625,220836.953125,219152.890625,682768
2019-07-15,222413.296875,226213.781250,221764.859375,226213.781250,224488.718750,1080832
2019-07-16,226152.828125,227417.921875,225176.921875,226563.281250,224835.562500,872205
2019-07-17,226786.984375,226787.640625,222275.828125,223238.109375,221535.734375,1247752
2019-07-18,220792.859375,222793.921875,220115.234375,222615.609375,220917.984375,1016906
2019-07-19,223450.796875,226952.984375,223004.015625,224359.250000,222648.328125,957538
2019-07-22,223385.953125,225123.750000,220467.984375,224932.468750,223217.171875,777200
2019-07-23,225331.250000,228184.375000,224575.171875,226451.750000,224724.875000,1404152
2019-07-24,230194.515625,230842.953125,226239.062500,227524.906250,225789.843750,1316834
2019-07-25,229919.578125,233021.046875,227742.140625,230842.953125,229082.578125,1302484
2019-07-26,230842.953125,233978.140625,229376.187500,231785.125000,230017.578125,772670
